category_name,category_description,category_display_order,category_is_active,item_name,item_description,item_price,item_is_vegetarian,item_is_available,item_preparation_time,item_spice_level,item_has_half_portion,item_half_portion_cost,item_image_url,category_image_url
Starters,Appetizers and snacks to begin your meal,1,true,Samosa,Crispy pastry filled with spiced potatoes and peas,80,true,true,10,mild,false,0,https://example.com/images/samosa.jpg,https://example.com/images/starters.jpg
Starters,Appetizers and snacks to begin your meal,1,true,Pakora,Mixed vegetable fritters in chickpea batter,70,true,true,10,medium,false,0,https://example.com/images/pakora.jpg,https://example.com/images/starters.jpg
Starters,Appetizers and snacks to begin your meal,1,true,Chicken Tikka,Boneless chicken pieces marinated in yogurt and spices,180,false,true,15,medium,false,0,https://example.com/images/chicken-tikka.jpg,https://example.com/images/starters.jpg
Main Course,Main dishes served with rice or bread,2,true,Butter Chicken,Tender chicken in creamy tomato sauce,320,false,true,20,mild,false,0,https://example.com/images/butter-chicken.jpg,https://example.com/images/main-course.jpg
Main Course,Main dishes served with rice or bread,2,true,Paneer Tikka Masala,Cubes of grilled paneer in rich spiced gravy,280,true,true,20,medium,false,0,https://example.com/images/paneer-tikka-masala.jpg,https://example.com/images/main-course.jpg
Main Course,Main dishes served with rice or bread,2,true,Dal Makhani,Black lentils slow-cooked with butter and cream,240,true,true,25,mild,true,150,https://example.com/images/dal-makhani.jpg,https://example.com/images/main-course.jpg
Main Course,Main dishes served with rice or bread,2,true,Chicken Biryani,Aromatic basmati rice cooked with spiced chicken,350,false,true,30,medium,false,0,https://example.com/images/chicken-biryani.jpg,https://example.com/images/main-course.jpg
Breads,Freshly baked Indian breads,3,true,Butter Naan,Soft leavened bread with butter,60,true,true,10,mild,false,0,https://example.com/images/butter-naan.jpg,https://example.com/images/breads.jpg
Breads,Freshly baked Indian breads,3,true,Roti,Whole wheat flatbread,40,true,true,8,mild,false,0,https://example.com/images/roti.jpg,https://example.com/images/breads.jpg
Breads,Freshly baked Indian breads,3,true,Garlic Naan,Naan bread topped with garlic and butter,70,true,true,10,mild,false,0,https://example.com/images/garlic-naan.jpg,https://example.com/images/breads.jpg
Beverages,Hot and cold drinks,4,true,Mango Lassi,Yogurt-based mango drink,90,true,true,5,mild,false,0,https://example.com/images/mango-lassi.jpg,https://example.com/images/beverages.jpg
Beverages,Hot and cold drinks,4,true,Masala Chai,Spiced Indian tea with milk,40,true,true,5,mild,false,0,https://example.com/images/masala-chai.jpg,https://example.com/images/beverages.jpg
Desserts,Sweet treats to end your meal,5,true,Gulab Jamun,Deep-fried milk solids in sugar syrup,120,true,true,5,mild,false,0,https://example.com/images/gulab-jamun.jpg,https://example.com/images/desserts.jpg
Desserts,Sweet treats to end your meal,5,true,Kheer,Traditional rice pudding with nuts,140,true,true,5,mild,false,0,https://example.com/images/kheer.jpg,https://example.com/images/desserts.jpg
